alpha_s,c_ratio,c_ref,c_sat,central_log10N_median_selected,central_log10N_min_selected,chi2_density,chi2_total,chi2_wp,chi2_xi0,chi2_xi2,concentration_ratio,f_sat_actual,f_sat_target,model,model_number_density_h3_mpc3,n_allowed_sat_candidates,n_cen_target,n_gal,n_sat,n_sat_target,observed_number_density_h3_mpc3,particle_mass_hinv_msun,sat_r_over_r200m_median,sat_radius_scale_median,sat_radius_scale_p16,sat_radius_scale_p84,satellite_log10N_median_selected,satellite_power,sigma_logm,status,traceback
0.7,0.35,5.0,1.75,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,1053.968725927789,869.839587143997,77.09412623533584,107.03501254845584,0.35,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.2844026791843048,1.1223785719307153,1.512633094305071,4.594503043820089,1.0,0.25,ok,
1.3,0.35,5.0,1.75,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,1073.0867967836546,869.8177661681566,80.7887590190813,122.48027159641633,0.35,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.2844026791843048,1.1223785719307153,1.512633094305071,4.594503043820089,1.0,0.25,ok,
1.1,0.35,5.0,1.75,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,1090.3501991280807,869.8198909164006,80.32558339961504,140.20472481206482,0.35,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.2844026791843048,1.1223785719307153,1.512633094305071,4.594503043820089,1.0,0.25,ok,
0.7,1.3,5.0,6.5,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1808.9994320688668,1204.4371036432983,125.86845961011466,478.6938688154535,1.3,0.09999995297118638,0.1,minimal_hod_nfw_profile,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2100000000.0,0.40911585786301835,0.9237771699377055,0.8805436306069874,0.963371400132462,4.592265606512769,1.0,0.25,ok,
1.3,1.3,5.0,6.5,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1861.562243183854,1204.6435184067816,131.19412817305977,525.7245966040125,1.3,0.09999995297118638,0.1,minimal_hod_nfw_profile,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2100000000.0,0.40911585786301835,0.9237771699377055,0.8805436306069874,0.963371400132462,4.592265606512769,1.0,0.25,ok,
0.7,1.0,5.0,5.0,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1902.918179336,1298.6116538325416,125.88657227866523,478.4199532247932,1.0,0.09999995297118638,0.1,minimal_hod_nfw_profile,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2100000000.0,0.40911585786301835,1.0000000003685816,0.9999999992455915,1.0000000007564764,4.592265606512769,1.0,0.25,ok,
1.1,1.3,5.0,6.5,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1927.3605952799767,1204.5691485425255,130.73325916332715,592.0581875741238,1.3,0.09999995297118638,0.1,minimal_hod_nfw_profile,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2100000000.0,0.40911585786301835,0.9237771699377055,0.8805436306069874,0.963371400132462,4.592265606512769,1.0,0.25,ok,
1.3,1.0,5.0,5.0,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1955.2654182559218,1298.7547526586777,131.20420143032413,525.3064641669197,1.0,0.09999995297118638,0.1,minimal_hod_nfw_profile,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2100000000.0,0.40911585786301835,1.0000000003685816,0.9999999992455915,1.0000000007564764,4.592265606512769,1.0,0.25,ok,
0.7,0.7,5.0,3.5,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,2019.009602035778,1414.9924753399234,125.91158597776152,478.1055407180928,0.7,0.09999995297118638,0.1,minimal_hod_nfw_profile,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2100000000.0,0.40911585786301835,1.1022200284887358,1.046428095931026,1.1716014216221577,4.592265606512769,1.0,0.25,ok,
1.1,1.0,5.0,5.0,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,2021.2820267810573,1298.709475774297,130.74188746543297,591.8306635413271,1.0,0.09999995297118638,0.1,minimal_hod_nfw_profile,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2100000000.0,0.40911585786301835,1.0000000003685816,0.9999999992455915,1.0000000007564764,4.592265606512769,1.0,0.25,ok,
1.3,0.7,5.0,3.5,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,2071.0187874415774,1415.1763311931936,131.2171640827047,524.6252921656791,0.7,0.09999995297118638,0.1,minimal_hod_nfw_profile,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2100000000.0,0.40911585786301835,1.1022200284887358,1.046428095931026,1.1716014216221577,4.592265606512769,1.0,0.25,ok,
0.7,0.5,5.0,2.5,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,2111.3046259808375,1507.229043768472,125.93431322725527,478.14126898511046,0.5,0.09999995297118638,0.1,minimal_hod_nfw_profile,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2100000000.0,0.40911585786301835,1.194370602674998,1.0858868754343938,1.3380894115570847,4.592265606512769,1.0,0.25,ok,
