label,split,covariance_mode,f_sat_target,alpha_s,concentration_ratio,c_sat,f_sat_actual,chi2,hartlap_scale
minimal_hod_nfw_profile,xi02,diagonal,0.1,0.7,0.5,2.5,0.09999995297118638,2910.139085755701,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,1.1,0.7,3.5,0.09999995297118638,2942.2320442987666,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,1.3,0.5,2.5,0.09999995297118638,2855.301747824073,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,0.7,0.35,1.75,0.09999995297118638,2909.9229649679983,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,1.1,0.5,2.5,0.09999995297118638,2941.934379146368,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,1.3,0.35,1.75,0.09999995297118638,2854.7889310108203,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,1.1,0.35,1.75,0.09999995297118638,2941.1739220455042,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,0.7,1.3,6.5,0.11999989653661006,5028.495717849278,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,1.3,1.3,6.5,0.11999989653661006,5080.19364609882,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,0.7,1.0,5.0,0.11999989653661006,5029.1991728996745,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,1.1,1.3,6.5,0.11999989653661006,5256.989555838296,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,1.3,1.0,5.0,0.11999989653661006,5079.603449013688,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,0.7,0.7,3.5,0.11999989653661006,5029.349568752199,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,1.1,1.0,5.0,0.11999989653661006,5256.582765208702,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,1.3,0.7,3.5,0.11999989653661006,5078.538894566394,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,0.7,0.5,2.5,0.11999989653661006,5030.337010348908,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,1.1,0.7,3.5,0.11999989653661006,5255.304562872418,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,1.3,0.5,2.5,0.11999989653661006,5077.946264225089,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.12,0.7,0.35,1.75,0.11999989653661006,5030.153361761175,0.4
