alpha_s,central_log10N_median_selected,central_log10N_min_selected,chi2_density,chi2_total,chi2_wp,chi2_xi0,chi2_xi2,f_sat_actual,f_sat_target,model,model_number_density_h3_mpc3,n_allowed_sat_candidates,n_cen_target,n_gal,n_sat,n_sat_target,observed_number_density_h3_mpc3,radial_scale,satellite_log10N_median_selected,satellite_power,sigma_logm,status,traceback
1.1,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1803.4982376287314,1108.7162542453962,131.13129064902,563.650692734315,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2.0,4.592265606512769,1.0,0.25,ok,
0.7,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,1869.939115691909,790.0769880766666,195.11701526774738,884.7451123474947,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,4.0,4.58983794314746,1.0,0.25,ok,
0.7,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1902.9234297885134,1298.6169042861177,125.88657227855906,478.4199532238365,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,1.0,4.592265606512769,1.0,0.25,ok,
0.7,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1942.4467196028238,1344.1874351011518,126.13930860450573,472.11997589716617,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,1.5,4.592265606512769,1.0,0.25,ok,
1.3,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,1946.9301321718451,790.2920329907654,199.429918848575,957.2081803325045,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,4.0,4.58983794314746,1.0,0.25,ok,
1.3,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1955.2706684193754,1298.7600028227787,131.20420143025717,525.3064641663393,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,1.0,4.592265606512769,1.0,0.25,ok,
1.3,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1992.3865380461928,1344.5751691365194,131.3231446445954,516.4882242650776,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,1.5,4.592265606512769,1.0,0.25,ok,
1.1,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,2021.2872772883643,1298.7147262815245,130.7418874653582,591.8306635414814,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,1.0,4.592265606512769,1.0,0.25,ok,
1.1,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,2049.1432552801853,790.1446179582026,199.69716651065434,1059.301470811328,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,4.0,4.58983794314746,1.0,0.25,ok,
1.1,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,2058.2292467121106,1344.477960209381,130.89862537642378,582.8526611263055,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,1.5,4.592265606512769,1.0,0.25,ok,
0.7,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,2437.2334633847577,1160.6420907902016,192.21559460039137,1084.3757779941645,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,3.0,4.58983794314746,1.0,0.25,ok,
1.3,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,2495.79970326833,1160.9893557652342,198.12181784620728,1136.6885296568887,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,3.0,4.58983794314746,1.0,0.25,ok,
1.1,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,2625.1933237395697,1160.8900938628128,198.06415646181316,1266.2390734149435,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,3.0,4.58983794314746,1.0,0.25,ok,
0.7,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,3217.832750774701,1826.1653434229981,190.3618747663987,1201.3055325853043,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,2.0,4.58983794314746,1.0,0.25,ok,
