label,split,covariance_mode,hartlap_scale,f_sat_target,alpha_s,radial_scale,f_sat_actual,chi2,source_chi2_total,source_chi2_wp,source_chi2_xi0,source_chi2_xi2
sham_profile,joint,diagonal,0.23157894736842105,0.12,1.1,3.0,0.11999989653661006,13332.355292239556,4437.037699288427,1800.302628458047,269.11707176363825,2367.617999066742
sham_profile,joint,diagonal,0.23157894736842105,0.12,0.7,3.0,0.11999989653661006,13378.024960490815,4459.693916974547,1800.1753302512896,263.0573410373828,2396.4612456858754
sham_profile,joint,diagonal,0.23157894736842105,0.12,1.1,2.0,0.11999989653661006,15404.200481464506,5900.341097089128,3000.4006276500672,267.29209582466825,2632.6483736143928
sham_profile,joint,diagonal,0.23157894736842105,0.12,0.7,2.0,0.11999989653661006,15407.389543287525,5920.077102655221,3000.1661530023184,259.86620603164977,2660.044743621253
sham_profile,joint,diagonal,0.23157894736842105,0.12,0.7,1.5,0.11999989653661006,15438.683481903825,6837.3735365293805,3849.111374655033,258.8562516123493,2729.405910261998
sham_profile,joint,diagonal,0.23157894736842105,0.12,1.1,1.5,0.11999989653661006,15453.694654953055,6828.9283925719565,3849.3888341647344,266.69265283259597,2712.8469055746264
sham_profile,joint,full,0.23157894736842105,0.04,0.7,4.0,0.03999988713084733,1157.379104894579,228.93644918260404,168.5917406549538,42.1581896926256,18.18651883502445
sham_profile,joint,full,0.23157894736842105,0.04,0.7,3.0,0.03999988713084733,1414.1913049150492,304.0668819336918,246.38618956040762,41.55820790693786,16.12248446634611
sham_profile,joint,full,0.23157894736842105,0.04,1.1,4.0,0.03999988713084733,1429.2427314606005,236.94399390811873,168.59488544057913,43.110304968479404,25.23880349906002
sham_profile,joint,full,0.23157894736842105,0.04,0.7,1.0,0.03999988713084733,1457.3818512665982,695.4796968529492,631.5217361675935,40.992407233975115,22.9655534513804
sham_profile,joint,full,0.23157894736842105,0.04,0.7,1.5,0.03999988713084733,1600.7974187815519,593.7227676602845,530.7024922349786,41.078041585738994,21.942233839566633
sham_profile,joint,full,0.23157894736842105,0.04,0.7,2.0,0.03999988713084733,1634.2012914465017,465.4065535198555,404.0034920318432,41.195177014801864,20.207884473210232
sham_profile,joint,full,0.23157894736842105,0.04,1.1,3.0,0.03999988713084733,1696.2625837833584,303.2945852999511,246.3742727493239,42.785632488719955,14.13468006190711
sham_profile,joint,full,0.23157894736842105,0.04,1.1,1.0,0.03999988713084733,1707.3807613422641,685.1939443802282,631.5632687278398,42.465157966811375,11.165517685576846
sham_profile,joint,full,0.23157894736842105,0.04,1.1,1.5,0.03999988713084733,1844.5328830356252,584.4636781885295,530.7891288640948,42.51689679122668,11.1576525332078
sham_profile,joint,full,0.23157894736842105,0.04,1.1,2.0,0.03999988713084733,1893.106150803924,457.95688717861253,404.0084248841327,42.58613028931792,11.362332005161754
